iter	Logloss
0	0.6547070464
1	0.630798489722	0.610408108733	0.597906503744	0.587613431755	0.580138315166	0.573141243477	0.567659424588	0.563150038899	0.5601014274
10	0.5562769192
11	0.553154639
12	0.5511337604
13	0.5486902925
14	0.5468396758
15	0.541114927
16	0.539496009
17	0.5371370758
18	0.5357354907
19	0.5318294384
20	0.5304434597
21	0.5293249953
22	0.5279697919
23	0.5267484714
24	0.5232455125
25	0.5220971538
26	0.5212679231
27	0.5205079983
28	0.5197765174
29	0.5189702588
30	0.5181675602
31	0.5173745586
32	0.516588731
33	0.5161107581
34	0.5155609562
35	0.5145723953
36	0.5139188864

37	0.5132721678
38	0.5128542472
39	0.5124675214
40	0.5116012645
41	0.5106437665
42	0.5101686704
43	0.5097907187
44	0.5093514322
45	0.5086448112
46	0.5079622531
47	0.5073780201
48	0.5070039999
49	0.5064663464
50	0.5062108665
51	0.5059233229
52	0.5054598776
53	0.504906336
