iter	Passed	Remaining
0	183	32692
1	208	18494
2	234	13779
3	265	11635
4	308	1074255	333	961866	360	884677	385	823488	411	777799	439	7429110	473	7224111	496	6910112	519	6628113	550	6487114	579	6336
15	607	6189
16	631	6013
17	654	5857
18	672	5660
19	690	5487
20	711	5354
21	730	5215
22	751	5098
23	771	4981
24	792	4883
25	812	4783
26	825	4649
27	838	4519
28	850	4399
29	864	4291
30	878	4192
31	892	4100
32	905	4004
33	916	3908
34	927	3817
35	943	3748
36	956	3672
37	938	3482
38	949	3409
39	960	3338
40	970	3266
41	980	3199
42	988	3127
43	997	3062
44	1006	2997
45	1015	2936
46	1024	2878
47	1034	2824
48	1042	2766
49	1051	2713
50	1059	2659
51	1070	2614
52	1080	2569
53	1089	2521
